Species,lambda_max (MM),T_op (MM),Tc_op (MM),lambda_max (DIM),T_op (DIM)
Northern Fulmar,1.06,22.92,46.97,1.04,26.99
Atlantic Puffin,1.09,11.81,24,1.08,12.2
Griffon Vulture,1.09,12.33,43,1.08,14.24
Black-legged Kittiwake,1.12,9.18,14.09,1.11,9.35
Herring Gull,1.13,9.8,19.39,1.09,11
Snow Goose,1.17,5.01,7.49,1.21,4.66
Barnacle Goose,1.18,7.55,22.49,1.15,6.84
Great Cormorant,1.19,6.28,12.08,1.21,4.79
Black-headed Gull,1.19,5.97,11.94,1.2,5
White Stork,1.21,4.98,6.84,1.21,4.83
Caspian Tern,1.29,4.22,10.07,1.21,4.79
Great Tit,1.64,1.8,3.7,1.52,1.92
Rock Sparrow,2.15,1.56,4.35,1.48,2.09
Black-footed Albatross,1.059,,,,
